OID,PID
1,1855
1,2848
1,1297
1,1751
2,621
2,3970
2,2533
2,2533
2,2533
2,815
2,815
2,815
3,2962
3,2962
3,407
3,3793
3,3793
3,3793
3,3600
3,3600
3,3600
4,990
4,990
4,990
4,3610
4,3610
4,536
4,3961
4,3961
4,3961
5,3596
5,3596
5,1449
5,1449
5,1288
5,3659
5,3659
5,3659
6,1192
6,1192
6,303
6,1484
6,2679
6,2679
6,2679
7,843
7,3921
7,3921
7,3921
8,2683
8,2683
8,2383
8,2383
8,1818
8,1743
8,1743
8,1743
8,1960
9,2502
9,2502
9,2502
10,884
10,884
10,884
10,1852
10,1852
11,2921
11,3029
11,2947
11,1869
11,1869
11,1869
11,1132
11,1132
11,1132
12,3467
12,3467
12,3467
12,1667
12,967
12,1082
12,1082
12,1472
13,3378
13,3378
13,3378
13,1637
13,2444
13,2444
14,2768
14,2768
14,2768
14,1293
15,1311
15,1311
15,849
15,849
15,2773
15,2773
15,2773
15,1484
15,1484
15,1284
15,1284
15,1284
16,2659
16,2659
16,2245
16,2245
16,2245
17,581
17,581
17,581
18,809
18,817
18,817
18,817
18,165
18,914
18,2139
18,2139
19,200
20,3695
20,3695
20,3695
20,1071
20,1071
21,1014
21,1014
21,155
21,155
22,2980
22,2980
22,1909
22,1909
23,169
23,94
23,94
23,2138
23,2138
23,2138
23,770
23,770
24,1176
25,73
25,3782
25,3782
25,380
25,380
25,3005
25,3005
25,3365
26,2935
26,3146
26,3146
26,1582
26,1582
26,1582
26,1491
26,1491
26,3410
27,3179
27,3179
27,3179
27,1988
28,2084
28,2084
28,1309
28,1309
28,3448
28,3448
28,991
28,991
28,3662
29,719
29,719
29,719
29,3419
29,1345
29,80
29,80
30,2740
30,2740
31,1959
31,1959
31,1959
31,2253
31,2253
31,1564
32,57
32,57
33,783
33,783
33,783
33,2562
33,2562
34,3918
34,3918
34,3738
34,3738
34,3738
34,147
34,147
35,963
35,963
35,963
35,2600
35,2600
35,2659
35,2659
35,2657
35,2657
35,508
35,508
35,508
36,1135
36,1135
36,1230
36,1230
37,3662
37,3662
37,301
37,301
37,815
37,815
37,815
38,304
38,3398
39,1789
40,2117
40,1901
41,2641
41,2641
42,2657
42,2657
42,691
43,1551
43,1551
43,1551
43,668
43,668
43,668
43,2380
44,3401
44,3401
44,114
44,3262
44,629
44,629
44,629
44,1428
45,1740
45,1740
45,1740
45,3963
45,3963
45,3683
45,3683
45,2990
45,2990
45,3834
46,1847
46,1847
46,3358
46,1101
46,2932
46,3799
46,3799
47,2961
48,980
48,980
48,980
49,2527
49,2527
49,2527
49,1005
49,1896
49,1896
49,1896
49,808
49,808
49,808
50,2379
50,2379
50,1377
50,1377
50,1377
50,3972
50,204
51,1608
51,1608
52,595
52,595
52,595
52,3387
52,3387
52,3387
53,3514
53,3830
53,3830
54,2651
54,2651
54,1064
54,1064
54,3195
54,3977
54,1711
54,1711
54,1711
55,3262
55,3262
55,3262
56,3682
56,3682
56,3568
56,678
56,678
56,678
56,1400
56,1400
56,1400
57,2136
57,1208
57,1208
57,1387
57,3739
57,3739
57,747
57,747
58,885
58,161
58,161
58,1288
58,1288
58,1288
59,2684
59,3341
60,3656
60,958
60,958
60,958
60,2379
60,2379
60,2379
60,3046
60,3046
61,596
61,2958
61,637
61,637
61,637
61,162
61,162
61,162
62,1335
62,1335
62,1335
62,1665
62,1508
62,1508
62,1508
62,1763
62,394
63,75
63,2511
63,2511
63,2511
63,1810
63,61
63,61
63,61
63,1075
63,1075
64,3423
64,3423
64,1001
64,1001
64,1448
64,1448
65,3711
65,3711
65,3711
65,2963
66,648
66,648
67,2330
67,2067
67,2067
67,2067
67,83
67,83
67,1984
67,1984
67,1984
68,2424
68,3902
68,3902
69,2007
69,2007
69,2007
70,1070
70,1070
70,1070
70,2742
70,2742
70,1538
70,1538
70,1538
70,666
70,666
70,666
71,3865
71,773
71,773
71,241
71,3063
71,3063
71,3063
72,488
73,3304
73,3304
73,3304
73,1683
73,3127
73,3127
73,3127
74,3822
75,367
76,3761
76,3761
76,3761
76,1511
76,1511
76,1511
76,2552
76,2552
76,1460
76,1460
76,1460
76,3005
77,3944
77,3944
77,3944
77,3533
77,3533
77,3533
77,312
77,312
77,312
77,1535
77,535
77,535
78,2445
78,1515
78,1515
78,1515
79,3813
79,3813
79,767
79,767
79,2486
79,2486
79,2486
80,2304
80,2304
80,2304
80,1078
80,1078
80,1078
80,100
80,2482
80,2482
80,2482
80,2240
80,2240
80,2240
81,2162
81,2162
81,2162
81,544
81,544
81,763
81,763
81,763
81,654
81,654
81,1189
81,1189
82,188
82,188
82,2052
82,2052
82,467
82,467
83,47
83,47
83,47
83,2845
83,2845
83,2845
83,2274
84,3091
84,3091
84,3091
85,346
85,346
86,1517
86,1517
86,1517
86,1289
87,381
87,381
87,381
87,1052
87,1052
87,1052
87,2865
87,2562
88,407
88,407
88,1901
88,1901
89,1196
89,1196
90,2051
90,82
90,82
90,82
90,2403
90,2403
90,2403
91,1021
91,3157
91,3157
91,3157
91,3965
91,3965
91,3965
91,3421
91,2795
91,2795
91,2795
92,2287
92,1834
92,1834
92,1834
92,296
92,296
92,296
92,1122
92,1122
92,1365
92,1365
93,1557
93,1557
93,1557
93,2455
93,2455
93,2455
93,3980
93,3980
93,3980
93,660
93,660
93,660
94,1759
95,3238
95,1302
95,1302
95,1302
95,3753
96,2333
96,2333
96,549
96,549
96,549
96,85
96,85
96,85
96,919
96,709
96,709
96,709
97,3252
97,3252
97,2939
98,3702
98,3702
98,3702
98,374
98,913
98,913
99,2014
99,77
99,3179
99,1840
99,1840
99,1840
99,798
100,1283
100,1283
100,1283
101,351
101,351
102,2287
103,26
103,26
103,26
104,906
104,906
104,906
104,802
104,772
104,772
104,772
104,979
104,979
104,979
104,1779
105,2366
105,2366
105,409
105,409
105,2735
105,2735
105,2549
105,2549
105,473
105,473
106,801
106,801
107,283
107,283
107,637
108,2034
109,175
109,347
109,347
109,347
109,2002
109,2002
109,480
109,480
110,1934
110,1934
110,1934
110,1570
110,1570
110,2582
110,2582
110,2582
110,3585
110,3585
110,3585
110,3581
111,1525
111,1525
111,1731
111,1731
111,1731
111,258
111,258
111,258
112,3103
112,3103
112,271
113,318
113,318
113,318
113,3669
113,3669
113,172
113,172
113,172
113,813
114,1534
114,1534
114,3706
114,3706
114,3706
114,1102
114,1102
114,1102
114,3154
114,3154
114,3154
115,1009
115,1197
115,1197
115,1109
115,1109
115,1109
115,1817
115,1817
116,3467
116,3335
116,2676
116,2676
116,2676
117,3231
117,3231
117,3231
118,2829
118,2829
118,2869
118,2869
118,2869
118,2945
118,2945
118,2945
118,959
119,479
119,479
119,479
119,2868
119,2868
119,3735
120,3131
120,3131
120,3131
120,1375
120,1375
120,1375
121,79
121,2810
121,2810
121,2810
121,2987
121,1348
122,1474
122,1474
122,1474
122,316
122,316
122,1459
122,1459
123,148
123,148
123,148
123,369
123,369
123,2824
123,2824
123,1743
123,1743
123,1743
124,622
124,622
124,712
124,712
125,2116
125,3267
125,3267
125,3267
125,3267
125,2212
125,2212
126,2743
126,2743
126,2743
126,2149
126,2637
126,2637
127,2297
127,2297
127,1003
127,1003
127,1003
127,1514
127,1514
127,1514
127,3241
127,3828
128,2478
128,2478
128,2478
129,547
129,810
129,3408
129,3408
129,3408
129,946
129,946
129,946
129,3296
129,3296
130,248
130,248
130,248
130,1294
130,1632
130,531
130,531
130,531
131,3681
131,3681
131,3681
132,824
132,824
132,1843
132,1843
132,438
132,1057
132,1468
132,1468
132,1468
133,1971
133,3820
133,3820
133,3820
133,3936
133,3936
134,3479
134,3479
134,3479
135,124
135,124
135,268
136,3008
136,3008
136,334
136,334
136,334
137,2908
137,532
137,532
137,1539
138,2852
138,2852
138,2852
138,945
138,1548
138,1548
138,1548
139,3036
139,3036
139,3036
139,2272
139,1763
139,1763
140,1329
140,1329
140,759
140,759
140,1431
140,1431
140,1431
140,1265
140,1265
140,1265
140,783
140,783
141,2004
141,2310
141,2310
141,968
141,2339
141,2339
141,1564
141,1564
142,3581
142,3581
142,2107
142,2107
142,2107
143,3225
143,3225
144,3773
144,3773
144,3773
144,178
144,178
144,178
144,437
144,677
145,2026
145,3833
145,3833
145,3833
145,2134
145,2134
145,2625
145,349
145,349
146,2913
146,2984
146,2984
146,2984
147,1187
148,3293
148,267
149,2470
149,3242
149,3242
149,3242
149,3869
149,3869
150,1117
150,382
150,3522
150,3522
150,3522
151,2146
151,2146
151,2223
152,1315
152,1315
152,1315
152,312
152,312
152,312
152,1398
152,1286
152,1286
152,1286
153,1365
153,1365
153,1376
153,152
153,152
153,152
153,1156
153,1156
154,3046
154,166
154,166
154,166
154,2116
155,3821
155,415
155,415
155,415
156,2612
156,2612
157,3753
157,3753
157,3753
157,429
157,429
157,429
157,1057
157,1057
158,3903
159,946
159,946
159,2522
159,2522
159,1839
159,2022
159,2022
159,2022
160,2655
160,2655
160,2655
160,2259
160,2259
161,3363
161,3363
162,1783
162,1783
162,3873
162,3873
162,3873
162,79
162,3701
162,3701
162,3701
163,1501
163,1501
163,1045
163,1045
163,515
163,2253
163,2253
163,2253
163,3843
163,3843
163,3843
164,2671
164,2787
164,1909
164,1909
164,1909
164,2139
164,1160
165,329
165,329
165,329
165,1912
165,1912
165,2905
166,2443
167,1990
167,1990
167,1990
167,3708
167,3547
168,1473
168,1473
168,527
168,527
169,1621
169,1621
169,1621
169,3415
169,3415
169,3415
169,234
169,234
169,2222
169,2222
169,1301
169,1301
170,3568
170,3568
170,2615
170,2615
170,2615
170,2289
170,1709
170,1709
170,515
170,515
170,515
171,640
171,640
171,640
171,3053
171,3053
171,728
171,728
171,3980
172,360
172,360
172,305
172,305
172,3330
172,3330
172,968
173,1084
173,3792
173,3792
173,3792
173,1336
174,1734
174,1013
174,3672
174,3672
174,3672
174,1984
174,828
175,564
175,47
175,47
175,47
175,621
175,3694
175,3694
176,3847
176,2413
176,2413
177,103
177,802
177,802
177,2070
177,2070
177,2778
177,2745
177,2745
177,2745
178,3369
178,3369
178,3369
178,2596
178,2596
179,553
179,966
179,966
179,966
179,1155
179,1155
179,3592
179,3592
179,3592
180,635
180,635
180,689
180,2141
180,565
180,565
180,565
181,2734
181,2734
181,2734
181,2547
181,2547
181,2547
181,3866
181,3866
181,3392
181,3392
182,1902
182,1568
182,3380
182,3380
182,3380
182,1230
182,1230
183,3721
183,3721
184,2242
184,2242
184,3553
185,3532
185,3532
185,3532
185,3349
185,3349
186,422
186,422
186,422
187,1809
187,1809
187,3168
187,3168
187,3168
187,263
187,263
187,263
187,3612
187,3612
188,1676
189,3727
189,3727
189,2537
189,2537
189,2146
189,3881
189,3881
190,703
190,703
190,2852
191,864
191,1788
191,1788
191,1788
191,1782
191,3296
191,3296
192,1583
192,1583
192,222
192,222
192,222
193,3503
193,3599
193,3599
193,3599
193,2880
194,2722
194,2722
194,2722
194,1043
194,1043
194,1043
194,1697
194,1697
194,1697
194,497
194,497
194,1456
195,2999
195,3348
195,3348
195,3348
195,397
195,397
195,397
195,510
195,510
195,510
196,257
196,3322
197,1806
197,1806
197,1806
197,730
197,730
198,2116
198,2116
198,1066
198,1066
198,1066
198,397
198,397
198,397
198,2752
198,636
198,636
198,636
199,28
199,28
199,3178
199,3178
199,3430
199,2481
199,2
199,2
199,2
200,933
200,933
200,1042
200,1042
200,1601
200,1601
200,1601
200,996
200,996
200,996
200,2019
200,2019
200,2019
201,3405
201,3405
202,1406
202,788
202,788
202,788
202,3524
202,3524
202,2501
202,2501
202,2258
202,2258
203,3238
203,3238
203,3238
203,1289
203,1289
203,1289
203,996
203,996
203,996
203,387
203,387
203,387
204,925
204,367
204,367
204,367
204,2692
204,2692
204,2692
204,1551
204,1551
205,2873
205,2873
205,505
205,2145
205,2145
205,2145
206,732
207,1606
207,1606
207,1606
207,1299
207,1299
207,1193
208,2706
208,2706
208,2617
208,2617
208,2617
208,340
208,3180
208,3180
208,3180
208,343
208,343
209,2233
209,2233
209,114
209,114
209,742
209,742
209,742
209,1337
209,1337
209,1337
210,1802
210,1802
210,1802
210,502
210,1780
210,1780
211,884
211,884
211,884
211,988
211,262
211,262
211,428
211,428
211,2881
212,3800
212,3800
212,3800
212,3783
212,3783
212,3783
213,3840
213,3840
213,2068
213,2068
213,2068
213,1095
213,1095
213,572
213,572
213,572
214,720
214,720
214,720
214,76
214,2021
214,1880
214,2118
215,3187
215,3304
215,3304
215,3304
215,2628
215,2628
215,2628
215,517
215,517
215,1963
215,1963
215,1963
216,1540
216,1712
216,1964
216,1964
217,877
217,975
217,321
217,1356
217,1356
217,1356
218,1489
219,406
219,3926
219,3926
219,2793
219,2793
219,2793
219,3272
219,3272
219,3272
220,312
220,2344
220,2344
220,3667
220,2530
221,3028
221,3028
221,330
221,330
221,330
221,90
221,90
222,3743
222,3743
222,1751
222,1751
222,1751
222,2044
222,2044
223,28
223,28
223,3446
223,3446
223,3446
223,590
223,590
224,2205
224,2619
224,2619
224,1837
224,1837
224,1837
224,2361
224,2361
225,3424
226,3311
226,3311
226,2959
226,2959
226,2959
226,3398
226,3398
226,933
226,933
226,832
226,832
226,832
227,2492
227,2492
227,1687
227,469
228,751
228,751
228,751
228,3480
228,148
228,3776
229,152
229,152
229,1259
229,1259
229,1259
229,2376
229,3262
229,315
230,2073
230,743
230,432
230,432
230,432
230,1276
230,2506
230,2506
231,3761
231,3761
231,2978
231,2131
231,2131
231,2131
232,417
232,417
232,2113
232,2113
232,342
233,482
233,482
233,3378
233,3378
233,3378
233,164
233,164
233,164
233,955
233,3922
233,3922
233,3922
234,3636
234,3636
235,2008
235,3044
235,3044
235,2004
235,2004
235,2734
235,90
235,90
236,2982
237,666
237,666
237,666
237,1193
237,989
237,2329
237,2329
237,2329
238,2250
238,2250
238,2250
238,1621
238,1621
238,1621
239,557
239,557
239,557
239,97
239,97
239,97
240,3112
240,3112
240,3112
241,961
241,961
241,961
241,3316
241,3316
241,3316
241,3179
241,3179
242,1350
242,1350
242,1350
242,3436
242,3436
242,3498
242,3498
242,3498
242,3860
243,3629
243,3429
243,3429
243,1181
243,1181
243,1181
244,180
244,3153
244,3153
244,3749
244,3353
244,3353
244,3353
244,2999
245,371
245,2376
245,2376
245,2376
245,2159
245,2159
245,2159
245,2773
245,2773
245,2659
246,3478
246,3478
246,3478
246,3410
246,3410
246,3410
247,3075
247,3075
247,1156
247,1420
247,1420
248,3869
248,30
248,30
248,30
248,3056
248,2
249,448
249,448
249,120
249,120
249,120
249,1521
249,1521
249,1521
249,3809
249,3809
249,3809
249,203
249,203
249,203
250,832
250,2286
250,2286
250,2286
250,3493
251,2321
251,2321
251,2321
251,2776
251,24
251,3193
251,964
251,964
252,2558
252,2558
252,2558
252,1420
252,1420
252,1420
252,1658
252,1658
252,1658
252,1340
252,1340
252,3321
252,3321
252,3321
253,184
253,184
253,2987
254,1865
254,1865
254,1865
254,1077
254,1077
254,1077
255,918
255,918
255,366
255,366
255,366
255,1107
255,1107
255,1654
255,1654
256,899
256,168
256,168
256,1701
256,1701
256,1701
256,1052
256,1052
256,1052
256,3690
256,3690
257,988
257,3313
257,3313
257,3313
258,3955
258,3955
258,3955
258,2136
258,2136
258,2136
258,3151
258,2928
258,2681
258,2681
258,2681
259,1089
259,388
259,3866
259,769
259,1572
260,3918
260,3918
260,3918
260,2016
260,2016
260,2016
260,1793
260,488
260,488
261,1194
261,1194
261,1194
262,1485
262,1763
262,1763
262,1763
262,3474
262,3474
262,3474
262,1296
262,1296
262,1296
263,3973
263,3973
263,1099
263,1099
263,1099
263,273
263,273
