ID,Name,Price,"Quantity on Hand"
1,"Ultramarine Storage Bench",$194.99,151
2,"Tropical rainforest Headboard",$222.99,103
3,"Fuchsia Futon",$419.99,198
4,"Unbleached silk Loveseat",$669.99,61
5,"Light pink Reclining Sofa","$1,119.99",26
6,"Midnight green Bed",$389.99,96
7,"Queen blue Sofa",$1249.99,89
8,"Coyote brown Bed",$389.99,79
9,"Cadet blue End Table",$99.99,233
10,"Deep sky blue Bed",$389.99,178
11,"Electric indigo Daybed",$711.99,181
12,"Green-cyan Dining Table",$800,128
13,"Sandy brown Futon",$419.99,189
14,"Mango Tango End Table",$99.99,230
15,"Tomato red Dining Chair",$89.99,127
16,"Tangerine Dresser",$599.99,55
17,"Dark spring green Headboard",$222.99,91
18,"Minion yellow Sectional","$1,039.99",50
19,"Bright lilac Crib",$289,213
20,"Wood brown Sleeper Sofa","$1,279.99",51
21,"Steel pink Futon",$419.99,128
22,"Salmon pink Ottoman",$92.99,130
23,"Burgundy Futon",$419.99,86
24,"OU Crimson red Headboard",$222.99,212
25,"Straw Stool",$54.99,184
26,"Alice blue Nightstand",$81.99,247
27,"Electric violet Sectional","$1,039.99",74
28,"French bistre Stool",$54.99,106
29,"Bleu de France Daybed",$711.99,180
30,"Dark sienna Storage Bench",$194.99,183
31,"Key lime Sofa",$1249.99,189
32,"Lava Headboard",$222.99,132
33,"Turquoise blue Coffee Table",$222.95,129
34,"Amber Dresser",$599.99,111
35,"Princeton orange Reclining Loveseat","$1,023.99",109
36,"Cotton candy Storage Bench",$194.99,206
37,"Pistachio Daybed",$711.99,171
38,"Slate blue Sleeper Sofa","$1,279.99",218
39,"Arylide yellow Nightstand",$81.99,45
40,"Gold Fusion Daybed",$711.99,132
41,"May green Reclining Sofa","$1,119.99",248
42,"Medium aquamarine Dresser",$599.99,177
43,"Sizzling Red Dining Chair",$89.99,124
44,"Wheat gold Headboard",$222.99,224
45,"Mexican pink Headboard",$222.99,88
46,"Medium sea green Dresser",$599.99,204
47,"Ocean Blue Stool",$54.99,88
48,"Dark goldenrod Headboard",$222.99,166
49,"Olive Dresser",$599.99,202
50,"Cyber yellow Coffee Table",$222.95,202
51,"Blast-off bronze Stool",$54.99,126
52,"Rose pink Crib",$289,198
53,"Dark khaki Nightstand",$81.99,170
54,"Roman silver Dining Chair",$89.99,125
55,"Baker-Miller pink Bed",$389.99,70
56,"Timberwolf grey Stool",$54.99,116
57,"Resolution blue Stool",$54.99,95
58,"Red-violet Dining Table",$800,229
59,"China rose Sleeper Sofa","$1,279.99",213
60,"Key lime Bed",$389.99,72
61,"Mauvelous End Table",$99.99,76
62,"Chestnut Wardrobe",$719.99,234
63,"Redwood Wardrobe",$719.99,249
64,"Razzmic Berry Ottoman",$92.99,123
65,"Mint Ottoman",$92.99,217
66,"Desert sand Sofa",$1249.99,194
67,"Burnished brown Ottoman",$92.99,157
68,"Tea green Reclining Loveseat","$1,023.99",172
69,"Dark blue-gray Dining Chair",$89.99,57
70,"Dark olive green Crib",$289,164
71,"Field drab Chaise Lounge",$235.99,46
72,"Forest green Stool",$54.99,186
73,"Blue Coffee Table",$222.95,33
74,"Cerulean Ottoman",$92.99,219
75,"Steel pink Sofa",$1249.99,36
76,"Black Dining Table",$800,98
77,"Little boy blue Plant Stand",$42.99,140
78,"Shadow blue Bed",$389.99,187
79,"Sapphire blue Wardrobe",$719.99,104
80,"Cadet grey Dresser",$599.99,191
81,"Portland Orange Dining Table",$800,234
82,"Olive Drab Headboard",$222.99,74
83,"Ivory Loveseat",$669.99,101
84,"Majorelle blue Ottoman",$92.99,67
85,"Platinum Dining Table",$800,195
86,"Mauve Reclining Loveseat","$1,023.99",136
87,"School Bus Yellow Dining Chair",$89.99,155
88,"Baker-Miller pink Sleeper Sofa","$1,279.99",184
